rv,gene_name,mtbc0,h37rv_product,mycobrowser_product,mycobrowser_function,mycobrowser_ec,was_unknown_in_mycobrowser,atlas_verdict,atlas_confidence,atlas_function,atlas_ec,novelty,ahead_of_mycobrowser,ahead_via,ec_vs_mycobrowser,annotation_route,swissprot_curated,functional_basis,support_evidence,n_references
Rv1856c,,mtbc0_001969,oxidoreductase,Possible oxidoreductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,family_assigned,medium,"SDR family oxidoreductase. Pfam: adh_short (PF00106.32), adh_short_C2 (PF13561.13).",1.-.-.-,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1857,modA,mtbc0_001970,molybdate ABC transporter substrate-binding lipoprotein ModA,Probable molybdate-binding lipoprotein ModA,Involved in the active transport of molybdenum into the cell across the membrane (import). Part of the binding-protein-dependent transport system modabc.,,0,family_assigned,medium,"Molybdate ABC transporter substrate-binding protein. Pfam: SBP_bac_11 (PF13531.12), SBP_bac_1 (PF01547.31).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1858,modB,mtbc0_001971,molybdenum ABC transporter permease ModB,Probable molybdenum-transport integral membrane protein ABC transporter ModB,Part of the binding-protein-dependent transport system modabc for molybdenum; responsible for the translocation of the substrate across the membrane.,,0,family_assigned,medium,ABC transporter permease. Pfam: BPD_transp_1 (PF00528.28).,3.6.3.29,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1859,modC,mtbc0_001972,molybdenum ABC transporter ATP-binding protein ModC,Probable molybdenum-transport ATP-binding protein ABC transporter ModC,Part of the binding-protein-dependent transport system modabc for molybdenum; responsible for energy coupling to the transport system.,3.6.3.29,0,family_assigned,medium,"Sulfate/molybdate ABC transporter ATP-binding protein. Pfam: ABC_tran (PF00005.34), TOBE (PF03459.24).",3.6.3.29;7.3.2.5,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1860,apa,-,hypothetical protein,Alanine and proline rich secreted protein Apa (fibronectin attachment protein) (immunogenic protein MPT32) (antigen MPT-32) (45-kDa glycoprotein) (45/47 kDa antigen),Unknown (could mediate bacterial attachment to host cells).,,0,family_assigned,medium,Contains FAP (PF07174.18) domain(s); putative function inferred from the domain architecture.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING;phenotype,purifying-selection;MS-detected,0
Rv1861,,mtbc0_001974,transmembrane protein,Probable conserved transmembrane protein,Function unknown,,0,family_assigned,medium,GlsB/YeaQ/YmgE family stress response membrane protein. Pfam: Transgly_assoc (PF04226.19).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,,0
Rv1862,adhA,mtbc0_001975,alcohol dehydrogenase A,Probable alcohol dehydrogenase AdhA,Catalyzes the reversible oxidation of ethanol to acetaldehyde with the concomitant reduction of NAD,1.1.1.1,0,family_assigned,medium,Zinc-binding alcohol dehydrogenase family protein. Pfam: ADH_N (PF08240.18).,1.1.1.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1863c,,-,integral membrane protein,Probable conserved integral membrane protein,,,0,family_assigned,medium,Integral membrane protein. Pfam: Rce1-like (PF02517.22).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,,0
Rv1864c,,-,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,Contains MOSC (PF03473.24) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1865c,,mtbc0_001978,short-chain type dehydrogenase,Probable short-chain type dehydrogenase,Function unknown; probably involved in cellular metabolism,1.-.-.-,0,family_assigned,medium,"SDR family oxidoreductase. Pfam: adh_short (PF00106.32), adh_short_C2 (PF13561.13).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1866,,-,hypothetical protein,Conserved protein,"Function unknown, but supposed involvement in lipid degradation.",,0,family_assigned,medium,Contains CoA_transf_3 (PF02515.23) domain(s); putative function inferred from the domain architecture.,2.8.3.-,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1867,,mtbc0_001980,hypothetical protein,Conserved protein,"Function unknown, but supposed involvement in lipid degradation.",,0,requalified,high,Acetyl-CoA acetyltransferase. Pfam: TLP1_add_C (PF18313.8).,2.3.1.9,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;pseudogene-candidate;MS-detected,0
Rv1868,,mtbc0_001981,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,NAD(P)H-binding protein. Pfam: Rph_4th (PF27448.1).,2.7.9.2,new_family_or_domain,1,EC number;COG category,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv1869c,,mtbc0_001982,reductase,Probable reductase,Function unknown; probably involved in cellular metabolism,1.-.-.-,0,requalified,high,"FAD-dependent oxidoreductase. Pfam: Pyr_redox_2 (PF07992.21), Pyr_redox_3 (PF13738.13), Pyr_redox (PF00070.34), Reductase_C (PF14759.13).",1.18.1.3,ec_reclassified,0,,reclassified,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1870c,,-,hypothetical protein,Conserved hypothetical protein,,,1,family_assigned,low,"No Pfam domain above threshold; Foldseek indicates a fold similar to 4uob-assembly1_A Crystal structure of Deinococcus radiodurans Endonuclease III-3 (prob 1.00, TM 0.56). Structure-based, putative.",,new_family_or_domain,1,COG category,,orthology (eggNOG),0,eggNOG;Foldseek;STRING,MS-detected,0
Rv1871c,,mtbc0_001984,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,Nitroreductase family deazaflavin-dependent oxidoreductase. Pfam: F420H2_quin_red (PF04075.21).,,new_family_or_domain,1,COG category,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1872c,lldD2,mtbc0_001985,L-lactate dehydrogenase,Possible L-lactate dehydrogenase (cytochrome) LldD2,Involved in respiration; catalyzes conversion of lactate into pyruvate [catalytic activity: (S)-lactate + 2 ferricytochrome C = pyruvate + 2 ferrocytochrome C].,1.1.2.3,0,requalified,high,Quinone-dependent L-lactate dehydrogenase. Pfam: FMN_dh (PF01070.25).,1.1.-.-;1.1.2.3;1.1.3.15,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1873,,mtbc0_001986,hypothetical protein,Conserved hypothetical protein,,,1,family_assigned,medium,Conserved hypothetical protein with an X-ray crystal structure at 1.38 A: a 16.2 kDa monomer adopting a primarily alpha-helical fold with limited similarity to known structures (COG5579). Not a novel fold but a model for sequence-related orthologues. Function unknown. (The UniProt auto-name 'Calpastatin' is a database artefact and is not adopted.),,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,1
Rv1874,,-,hypothetical protein,Unknown protein,,,1,family_assigned,low,"No Pfam domain above threshold; Foldseek indicates a fold similar to 2ftr-assembly1_B Crystal structure of an ethyl tert-butyl ether d (ethd) family (prob 1.00, TM 0.62). Structure-based, putative.",,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Foldseek;STRING,MS-detected,0
Rv1875,,mtbc0_001988,hypothetical protein,Conserved protein,Function unknown,,1,requalified,high,PPOX class F420-dependent oxidoreductase. Pfam: PNPOx_N (PF01243.28).,,new_function,1,requalified function,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1876,bfrA,-,bacterioferritin BfrA,Probable bacterioferritin BfrA,"Involved in iron storage (may perform analogous functions in iron detoxification and storage as that of animal ferritins); ferritin is an intracellular molecule that stores iron in a soluble, nontoxic, readily available form. The functional molecule, which is composed of 24 chains, is roughly spherical and contains a central cavity in which the polymeric ferric iron core is deposited.",,0,requalified,high,Bacterioferritin BfrA. Pfam: Ferritin (PF00210.31).,1.16.3.1,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1877,,mtbc0_001991,MFS-type transporter,Probable conserved integral membrane protein,Unknown; possibly involved in transport of drug across the membrane.,,0,family_assigned,medium,"MDR family MFS transporter. Pfam: MFS_1 (PF07690.22), TRI12 (PF06609.19), Sugar_tr (PF00083.31).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1878,glnA3,mtbc0_001992,glutamine synthetase GlnA,Probable glutamine synthetase GlnA3 (glutamine synthase) (GS-I),Involved in glutamine biosynthesis [catalytic activity: ATP + L-glutamate + NH(3) = ADP + glutamine + orthophosphate].,6.3.1.2,0,family_assigned,medium,Glutamine synthetase family protein. Pfam: Gln-synt_C (PF00120.30).,6.3.1.2,confirmed,0,,agree,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1879,,mtbc0_001993,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,Amidohydrolase family protein. Pfam: Amidohydro_2 (PF04909.21).,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1880c,cyp140,mtbc0_001994,cytochrome P450 Cyp140,Probable cytochrome P450 140 Cyp140,"Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics.",1.14.-.-,0,requalified,high,Cytochrome P450. Pfam: p450 (PF00067.28).,1.14.-.-,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1881c,lppE,mtbc0_001995,lipoprotein LppE,Possible conserved lipoprotein LppE,,,0,requalified,high,Lipoprotein LpqH. Pfam: Myco_19_kDa (PF05481.18).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1882c,,mtbc0_001996,short-chain type dehydrogenase/reductase,Probable short-chain type dehydrogenase/reductase,Function unknown; probably involved in cellular metabolism,1.1.-.-,0,family_assigned,medium,"SDR family oxidoreductase. Pfam: adh_short (PF00106.32), adh_short_C2 (PF13561.13).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1883c,,mtbc0_001997,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,"SRPBCC family protein. Pfam: Polyketide_cyc2 (PF10604.16), Polyketide_cyc (PF03364.26).",,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1884c,rpfC,mtbc0_001998,resuscitation-promoting factor RpfC,Probable resuscitation-promoting factor RpfC,"Thought to promote the resuscitation and growth of dormant, nongrowing cell. Could also stimulates the growth of several other high G+C gram+ organisms, e.g. Mycobacterium avium, Mycobacterium bovis (BCG), Mycobacterium kansasii, Mycobacterium smegmatis.",,0,requalified,high,Resuscitation-promoting factor RpfC. Pfam: Transglycosylas (PF06737.20).,3.-.-.-,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1885c,,mtbc0_001999,chorismate mutase,Chorismate mutase,Involved in the shikimate pathway. Converts chorismate to prephenate in the biosynthesis of tyrosine and phenylalanine.,,0,requalified,high,Chorismate mutase. Pfam: CM_2 (PF01817.27).,5.4.99.5,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1886c,fbpB,mtbc0_002000,diacylglycerol acyltransferase/mycolyltransferase Ag85B,Secreted antigen 85-B FbpB (85B) (antigen 85 complex B) (mycolyl transferase 85B) (fibronectin-binding protein B) (extracellular alpha-antigen),"Involved in cell wall mycoloylation. Proteins of the antigen 85 complex are responsible for the high affinity of mycobacteria to fibronectin. Possesses a mycolyltransferase activity required for the biogenesis of trehalose dimycolate (cord factor), a dominant structure necessary for maintaining cell wall integrity.",2.3.1.-,0,requalified,high,Diacylglycerol acyltransferase/mycolyltransferase Ag85B. Pfam: Esterase (PF00756.27).,2.3.1.122;2.3.1.20,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1887,,mtbc0_002001,hypothetical protein,Hypothetical protein,,,1,family_assigned,low,Exopolyphosphatase-like fold (PDB 3HI0); putative phosphatase/hydrolase.,,new_family_or_domain,0,,,curation/synthesis,0,eggNOG;Pfam;Foldseek;STRING;phenotype,MS-detected,0
Rv1890c,,-,hypothetical protein,Hypothetical protein,,,1,family_assigned,medium,Contains YceI (PF04264.19) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1891,,mtbc0_002005,hypothetical protein,Conserved protein,Function unknown,,1,dark,low,"Conserved hypothetical protein; no recognised domain. Function unknown. Foldseek best (non-significant) hit: 6xl5-assembly1_D Cryo-EM structure of EcmrR-RNAP-promoter open complex (prob 0.04, TM 0.37).",,still_unknown,0,,,unknown,0,eggNOG;Foldseek;STRING,MS-detected,0
Rv1892,,mtbc0_002006,membrane protein,Probable membrane protein,,,0,family_assigned,low,"Small integral membrane protein under strong purifying selection (pN/pS 0). Its fold WEAKLY resembles actinobacterial respiratory-supercomplex accessory subunits (HHpred 7E1V/7Q21, E~1-2, near the TM-helix promiscuity floor). Function undetermined; the supercomplex association is a weak structural hint only, uncorroborated.",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1893,,mtbc0_002007,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,Contains Rv1893 (PF23706.3) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1894c,,mtbc0_002008,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,Nitronate monooxygenase family protein. Pfam: NMO (PF03060.22).,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1895,,-,zinc-binding alcohol dehydrogenase,Possible dehydrogenase,Function unknown; probably involved in cellular metabolism,1.1.-.-,0,requalified,high,"Zinc-binding alcohol dehydrogenase. Pfam: ADH_N (PF08240.18), ADH_zinc_N (PF00107.33), ADH_zinc_N_2 (PF13602.13).",1.1.1.1,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv1896c,,mtbc0_002010,S-adenosyl-L-methionine-dependent methyltransferase,Conserved hypothetical protein,Function unknown,2.1.1.-,1,requalified,high,Class I SAM-dependent methyltransferase. Pfam: LCM (PF04072.21).,2.1.1.-,new_function,1,curated function (UniProt);EC number;COG category;requalified function,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1897c,dtd,mtbc0_002011,D-tyrosyl-tRNA(Tyr) deacylase,Conserved hypothetical protein,Function unknown,3.1.-.-,1,requalified,high,D-aminoacyl-tRNA deacylase. Pfam: Tyr_Deacylase (PF02580.22).,3.1.1.96,new_function,1,curated function (UniProt);EC number;COG category;requalified function,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1898,,mtbc0_002012,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,MTH1187 family thiamine-binding protein. Pfam: Thiamine_BP (PF01910.23).,,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1899c,lppD,-,lipoprotein LppD,Possible lipoprotein LppD,,,0,requalified,high,Lipoprotein LppD. Pfam: Macro (PF01661.28).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;pseudogene-candidate;MS-detected,0
Rv1900c,lipJ,mtbc0_002015,lignin peroxidase LipJ,Probable lignin peroxidase LipJ,Function unknown; probably involved in cellular metabolism,,0,family_assigned,medium,"Adenylate/guanylate cyclase domain-containing protein. Pfam: Abhydrolase_1 (PF00561.27), Guanylate_cyc (PF00211.26).",3.1.1.-;4.6.1.1,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1901,cinA,mtbc0_002016,competence damage-inducible protein CinA,Probable CinA-like protein CinA,,,0,requalified,high,"Competence/damage-inducible protein A. Pfam: MoCF_biosynth (PF00994.30), CinA (PF02464.24).",3.5.1.42,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1902c,nanT,mtbc0_002017,sialic acid-transport integral membrane protein NanT,Probable sialic acid-transport integral membrane protein NanT,Involved in transport of sialic acid across the membrane. Responsible for the translocation of the substrate across the membrane.,,0,family_assigned,medium,"Sialate:H+ symport family MFS transporter. Pfam: Sugar_tr (PF00083.31), MFS_1 (PF07690.22).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1903,,mtbc0_002018,membrane protein,Probable conserved membrane protein,,,0,family_assigned,medium,Phage holin family protein. Pfam: Phage_holin_4_2 (PF04020.19).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1904,,mtbc0_002019,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,requalified,high,"Anti-sigma factor antagonist. Pfam: STAS (PF01740.27), STAS_2 (PF13466.13).",,new_function,1,COG category;requalified function,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1905c,aao,mtbc0_002020,D-amino acid oxidase,Probable D-amino acid oxidase Aao,Wide specificity for D-amino acids. Also acts on glycine [catalytic activity: a D-amino acid + H2O + O2 = a 2-oxo acid + NH3 + H2O2],1.4.3.3,0,requalified,high,"FAD-dependent oxidoreductase. Pfam: DAO (PF01266.31), FAD_binding_2 (PF00890.31).",1.4.3.3,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1906c,,mtbc0_002021,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,Contains Rv1352 (PF27111.1) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,1,COG category,,curation/synthesis,0,eggNOG;Pfam;Foldseek;STRING;phenotype,purifying-selection;MS-detected,0
Rv1907c,,-,hypothetical protein,Hypothetical protein,,,1,dark,low,"Conserved hypothetical protein; DUF domain(s) DUF4262. Function unknown. Foldseek best (non-significant) hit: 4q3o-assembly4_H Crystal structure of MGS-MT1, an alpha/beta hydrolase (prob 0.04, TM 0.35).",,still_unknown,0,,,unknown,0,eggNOG;Pfam;Foldseek;STRING,pseudogene-candidate,0
Rv1908c,katG,mtbc0_002023,catalase-peroxidase,Catalase-peroxidase-peroxynitritase T KatG,"Multifunctional enzyme, exhibiting both a catalase, a broad-spectrum peroxidase, and a peroxynitritase activities. May play a role in the intracellular survival of mycobacteria within macrophages; protection against reactive oxygen and nitrogen intermediates produced by phagocytic cells. Seems regulated by SIGB|Rv2710 [catalytic activity: 2 H(2)O(2) = O(2) + 2 H(2)O].",1.11.1.6;1.11.1.7,0,requalified,high,Catalase/peroxidase HPI. Pfam: peroxidase (PF00141.29).,1.11.1.21,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1909c,furA,mtbc0_002024,ferric uptake regulation protein FurA,Ferric uptake regulation protein FurA (fur),"Acts as a global negative controlling element, employing FE(2+) as a cofactor to bind the operator of the repressed genes. Seems to regulate transcription of KATG|Rv1908c gene.",,0,family_assigned,medium,Fur family transcriptional regulator. Pfam: FUR (PF01475.26).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1910c,,mtbc0_002025,hypothetical protein,Probable exported protein,,,0,family_assigned,medium,YbhB/YbcL family Raf kinase inhibitor-like protein. Pfam: PBP (PF01161.26).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1911c,lppC,mtbc0_002026,lipoprotein LppC,Probable lipoprotein LppC,,,0,family_assigned,medium,YbhB/YbcL family Raf kinase inhibitor-like protein. Pfam: PBP (PF01161.26).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1912c,fadB5,mtbc0_002027,oxidoreductase FadB,Possible oxidoreductase FadB5,Thought to be involved in fatty acid degradation. FADB and FADA are the alpha and beta subunits of the multifunctional enzyme complex of the fatty acid degradation cycle.,1.6.5.5,0,family_assigned,medium,"Medium chain dehydrogenase/reductase family protein. Pfam: ADH_N (PF08240.18), ADH_zinc_N (PF00107.33), ADH_zinc_N_2 (PF13602.13).",1.6.5.5,confirmed,0,,agree,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1913,,mtbc0_002028,hypothetical protein,Conserved hypothetical protein,,,1,requalified,high,MBL fold metallo-hydrolase. Pfam: Lactamase_B (PF00753.34).,,new_function,1,requalified function,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1914c,,mtbc0_002029,hypothetical protein,Unknown protein,,,1,dark,low,"Conserved hypothetical protein; no recognised domain. Function unknown. Foldseek best (non-significant) hit: 2ys5-assembly1_A Solution structure of the complex of the PTB domain o (prob 0.38, TM 0.51).",,still_unknown,0,,,unknown,0,eggNOG;Foldseek;STRING,MS-detected,0
Rv1915,aceAa,-,isocitrate lyase AceAa,Probable isocitrate lyase AceAa [first part] (isocitrase) (isocitratase) (Icl),"Involved in glyoxylate bypass, an alternative to the tricarboxylic acid cycle [catalytic activity: isocitrate = succinate + glyoxylate].",4.1.3.1,0,requalified,high,"Isocitrate lyase AceAa. Pfam: ICL (PF00463.28), PEP_mutase (PF13714.13).",4.1.3.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1916,aceAb,-,isocitrate lyase AceAb,Probable isocitrate lyase AceAb [second part] (isocitrase) (isocitratase) (Icl),"Involved in glyoxylate bypass, an alternative to the tricarboxylic acid cycle [catalytic activity: isocitrate = succinate + glyoxylate].",4.1.3.1,0,requalified,high,Isocitrate lyase AceAb. Pfam: ICL (PF00463.28).,4.1.3.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1917c,PPE34,-,PPE family protein PPE34,PPE family protein PPE34,Function unknown,,0,family_assigned,medium,"PPE family protein PPE34. Pfam: PPE (PF00823.26), Pentapeptide_2 (PF01469.25).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection,0
Rv1918c,PPE35,-,PPE family protein PPE35,PPE family protein PPE35,Function unknown,,0,family_assigned,medium,"PPE family protein PPE35. Pfam: PPE (PF00823.26), Pentapeptide_2 (PF01469.25).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv1919c,,mtbc0_002033,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,SRPBCC family protein. Pfam: Polyketide_cyc2 (PF10604.16).,,new_family_or_domain,0,,,curation/synthesis,0,eggNOG;Pfam;Foldseek;STRING;phenotype,purifying-selection;MS-detected,0
Rv1920,,mtbc0_002034,membrane protein,Probable membrane protein,,,0,family_assigned,medium,"Lysophospholipid acyltransferase family protein. Pfam: Acyltransferase (PF01553.27), DAGAT (PF03982.19).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1921c,lppF,mtbc0_002035,lipoprotein LppF,Probable conserved lipoprotein LppF,,,0,requalified,high,"Haloacid dehalogenase-like hydrolase. Pfam: Hydrolase (PF00702.33), HAD (PF12710.14).",3.1.3.3,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1922,,mtbc0_002036,lipoprotein,Probable conserved lipoprotein,,,0,requalified,high,Serine hydrolase. Pfam: Beta-lactamase (PF00144.30).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1923,lipD,-,lipase LipD,Probable lipase LipD,Function unknown; lipolytic enzyme probably involved in cellular metabolism,3.1.-.-,0,requalified,high,Lipase LipD. Pfam: Beta-lactamase (PF00144.30).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1924c,,mtbc0_002038,hypothetical protein,Unknown protein,,,1,family_assigned,low,Polytopic integral membrane protein with 3 predicted transmembrane helices (DeepTMHMM). RefSeq leaves it 'hypothetical protein'. A topological feature consistent with a membrane transporter/permease or membrane-embedded enzyme; the transported substrate and molecular function are undetermined.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv1925,fadD31,mtbc0_002039,fatty-acid--CoA ligase FadD31,Probable acyl-CoA ligase FadD31 (acyl-CoA synthetase) (acyl-CoA synthase),"Function unknown, but involvement in lipid degradation.",6.2.1.-,0,requalified,high,Fatty-acid--AMP ligase FAAL31/FadD31. Pfam: AMP-binding (PF00501.35).,2.7.7.95;6.2.1.51,ec_reclassified,0,,reclassified,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1926c,mpt63,mtbc0_002040,immunogenic protein Mpt63,Immunogenic protein Mpt63 (antigen Mpt63/MPB63) (16 kDa immunoprotective extracellular protein),,,0,requalified,medium,Immunoprotective protein Mpt63.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1927,,mtbc0_002041,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,low,YqjF family protein.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1928c,,mtbc0_002042,short-chain type dehydrogenase/reductase,Probable short-chain type dehydrogenase/reductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,family_assigned,medium,"SDR family oxidoreductase. Pfam: adh_short (PF00106.32), KR (PF08659.17), adh_short_C2 (PF13561.13).",1.1.1.127,ec_reclassified,0,,reclassified,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;pseudogene-candidate;MS-detected,0
